Rank	Taxonpath	Taxon	X01	X02	X03	X04	X05	X06	X07	X08	X09	X10	X65-5-5	X65-5-1	X65-3-3	X65-3-1	X11	X25-I-1	X26-I-1	X27-I-1	X28-I-1	X29-I-1	X25-I-5	X30-II-5	X35-III-5	X40-I-5	X45-II-5	X12	X50-III-5	X75-5-5	X75-5-1	X75-3-3	X75-3-1	X60-5-5	X60-5-1	X60-3-3	X60-3-1	X80-5-5	X13	X80-5-1	X80-3-3	X80-3-1	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X01Pool	X11Pool	X21Pool	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	PCRRep01	PCRRep02	PCRRep03	PCRRep04	PCRRep05	PCRRep06	PCRRep07	PCRRep08	PCRRep09	PCRRep10	X55Pool	X70-5-5	X70-5-1	X70-3-3	X70-3-1	X1264-IV-5	X1274-IV-5	X1285-I-5	X1289-II-5	X1294-III-5	X1299-IV-5	X01_10_isPool	X11_20_isPool	X21_24_isPool	X55_64_isPool	XPCR
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	2	2	1	1	1	3	3	1	2	1	0	2	1	2	3	2	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	2	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	2	2	1	0	4	1
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
superkingdom	Main genome;Eukaryota;D4P07G08	D4P07G08	0	1	0	0	0	0	0	0	0	0	2	1	2	1	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	2	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	2	1	2	1	1	1	1	0	0	0	0	0	0	1	2	1	0	1	1	0	3	2
superkingdom	Main genome;Eukaryota;Picozoa superkingdom incertae sedis	Picozoa superkingdom incertae sedis	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0
superkingdom	Main genome;Eukaryota;Apusozoa superkingdom incertae sedis	Apusozoa superkingdom incertae sedis	17	21	28	22	23	21	25	25	17	21	39	23	39	15	13	40	39	30	31	27	39	40	32	35	57	13	55	84	64	70	58	42	26	40	26	74	10	73	75	53	11	15	15	12	13	11	12	17	11	10	14	19	15	12	24	27	24	28	28	29	25	26	24	22	31	25	29	26	26	30	25	25	29	26	27	42	25	32	17	22	36	33	28	33	38	90	63	29	102	93
superkingdom	Main genome;Eukaryota;Breviatea superkingdom incertae sedis	Breviatea superkingdom incertae sedis	5	1	4	4	5	8	4	0	3	2	7	7	6	6	5	6	2	6	3	6	9	7	8	10	2	3	3	4	12	8	5	8	4	10	5	2	2	11	4	10	1	1	3	2	4	1	2	0	1	0	2	4	1	2	5	4	10	4	6	4	7	7	6	5	5	4	4	3	5	3	4	4	6	7	2	9	4	11	5	3	3	4	3	2	3	19	14	3	28	23
kingdom	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia)	Metazoa (Animalia)	84	88	117	99	108	119	98	118	105	99	224	150	170	139	94	138	144	128	142	160	291	310	222	213	276	99	281	447	367	350	339	230	192	195	165	339	99	295	280	302	86	102	110	89	83	75	76	151	153	148	168	241	165	208	89	99	91	88	103	99	90	112	89	121	101	99	96	102	93	102	96	90	89	98	232	218	165	179	146	95	168	244	203	203	214	429	363	348	390	174
kingdom	Main genome;Eukaryota;Opisthokonta;Fungi	Fungi	38	40	45	39	37	41	42	40	42	39	79	48	66	50	20	61	71	60	58	55	71	75	74	84	91	23	89	133	95	111	88	97	56	92	58	109	25	93	102	87	26	21	31	19	27	16	22	23	17	20	22	45	21	19	43	42	42	51	49	51	47	51	42	46	51	58	50	44	49	49	40	48	48	61	65	78	52	67	45	56	75	74	58	70	54	145	92	48	168	154
kingdom	Main genome;Eukaryota;Opisthokonta;Choanomonada	Choanomonada	2	2	2	1	4	2	1	7	2	3	6	7	5	7	2	10	8	6	10	4	10	11	8	9	10	2	13	22	16	18	14	8	5	11	7	12	2	19	16	14	2	2	2	0	1	1	1	0	1	0	0	7	1	4	8	4	6	5	6	5	5	6	7	4	6	7	8	7	4	8	7	9	11	3	6	8	3	6	1	7	7	7	7	8	12	12	11	1	23	22
kingdom	Main genome;Eukaryota;Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis	Cryptomycota Holomycota kingdom incertae sedis	3	3	3	6	5	3	6	6	3	6	7	7	5	3	1	5	6	9	7	6	9	7	5	5	5	2	6	5	9	4	7	3	4	4	7	8	1	5	7	2	4	1	3	2	2	2	4	4	3	1	2	3	3	2	4	2	2	2	2	3	4	5	4	1	2	3	4	3	4	3	5	2	4	2	6	8	7	6	3	6	6	7	5	5	3	13	9	8	9	11
kingdom	Main genome;Eukaryota;Opisthokonta;Mesomycetozoa	Mesomycetozoa	5	8	11	8	8	12	8	8	8	7	8	6	7	4	4	8	6	8	9	10	10	10	9	17	8	4	12	13	13	12	16	10	6	9	5	11	4	13	11	11	8	5	8	5	3	4	3	3	4	6	6	9	3	4	8	7	9	8	7	8	10	8	8	9	6	5	5	7	5	7	7	6	4	4	7	9	6	9	5	6	9	10	8	6	8	19	18	9	25	17
kingdom	Main genome;Eukaryota;Opisthokonta;Discicristoidea Holomycota kingdom incertae sedis	Discicristoidea Holomycota kingdom incertae sedis	0	0	1	1	1	1	2	0	1	0	2	1	1	1	2	0	3	2	2	3	3	4	5	4	3	0	2	4	7	4	4	6	2	4	2	6	0	8	4	3	0	0	0	0	0	0	1	1	1	1	0	1	2	2	1	1	1	3	1	1	3	4	3	1	2	3	2	1	1	3	2	1	2	3	2	3	0	3	2	1	4	3	3	4	3	3	3	2	6	6
kingdom	Main genome;Eukaryota;Opisthokonta;Mesomycetozoea	Mesomycetozoea	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	2	2
kingdom	Main genome;Eukaryota;Opisthokonta;Filasterea	Filasterea	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	2	0	1	1	1	0	2	0	2	2	1	0	2	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	4	1	0	2	4
kingdom	Main genome;Eukaryota;Opisthokonta;Freshwater Opisthokonta	Freshwater Opisthokonta	1	3	1	3	2	3	3	3	2	2	2	2	2	2	2	1	2	2	2	4	2	2	3	3	3	0	5	4	3	4	3	3	3	4	3	3	0	4	3	3	3	4	1	1	3	1	1	4	3	2	3	3	2	2	3	2	2	2	2	5	3	4	4	3	2	2	2	2	4	3	2	3	3	3	3	2	2	2	1	2	3	3	3	2	3	6	4	5	7	6
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	1	0	1	0	1	4	5	7	3	5	4	2	0	3	0	3	4	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	4	0	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	2	1	3	2	6	4
kingdom	Main genome;Eukaryota;Excavata;Metamonada	Metamonada	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	1	0	0	1	0	1	0	0	2	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	3	0	1	1
kingdom	Main genome;Eukaryota;Archaeplastida;Plantae	Plantae	52	60	65	71	66	65	63	66	55	58	84	52	72	62	35	69	65	67	70	65	80	80	73	82	88	28	101	67	60	69	60	67	49	61	49	65	30	66	66	63	30	26	31	29	29	24	23	21	23	23	22	67	33	22	45	40	40	41	36	44	45	43	40	43	43	45	42	37	47	39	44	49	40	42	61	74	61	65	59	66	68	74	73	63	54	133	89	50	103	86
kingdom	Main genome;Eukaryota;Archaeplastida;Rhodophyceae	Rhodophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Eukaryota;Archaeplastida;Glaucophyta kingdom incertae sedis	Glaucophyta kingdom incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	175	198	224	185	218	191	195	221	210	174	308	239	281	226	121	280	265	268	290	275	361	358	313	368	365	121	414	517	481	476	446	404	282	372	279	409	127	427	387	398	131	133	125	143	113	126	119	150	148	144	154	257	155	149	217	206	243	226	212	253	230	228	212	225	225	234	226	210	236	228	227	226	248	208	280	332	240	283	231	238	333	350	307	289	321	667	485	315	795	593
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	256	262	310	286	305	326	290	297	300	271	473	328	413	324	192	390	393	393	413	402	536	509	502	540	560	193	603	783	657	714	617	603	410	538	380	700	189	694	629	558	193	181	197	180	164	161	179	191	220	216	220	333	219	208	294	332	328	327	324	357	343	329	329	345	354	341	351	334	360	337	341	330	347	359	424	467	361	397	306	323	441	480	420	411	401	906	669	443	1085	904
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	155	209	214	193	198	197	189	190	200	185	312	209	262	201	142	278	273	273	287	268	336	351	313	322	376	127	398	503	449	469	409	376	280	356	264	460	127	466	454	428	141	123	130	130	119	111	117	117	125	112	124	201	134	115	220	232	224	225	220	244	217	241	224	251	245	250	233	249	232	234	236	243	244	241	273	292	244	262	208	220	302	299	283	278	253	505	394	245	624	574
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa (kingdom)	Amoebozoa (kingdom)	4	4	4	5	2	5	4	6	4	5	8	4	6	4	2	11	12	7	2	8	8	12	7	14	11	3	14	25	25	25	17	8	7	11	6	17	0	30	13	17	6	1	0	6	0	2	3	4	0	2	4	5	0	1	8	8	7	11	4	8	3	7	5	6	9	14	5	5	5	4	7	10	9	12	6	6	4	7	4	5	7	15	7	5	6	27	20	7	45	49
kingdom	Main genome;Eukaryota;Hacrobia;Haptophyta (kingdom)	Haptophyta (kingdom)	7	9	10	9	5	7	8	7	8	6	16	12	15	13	7	9	8	9	11	12	11	9	9	13	16	8	14	14	11	11	12	12	9	10	6	13	5	15	15	12	5	6	5	5	8	6	5	4	4	5	7	7	7	5	6	7	5	6	7	7	6	8	6	8	7	10	6	8	9	10	9	10	9	10	9	12	10	12	7	7	9	8	8	5	8	15	14	8	15	19
kingdom	Main genome;Eukaryota;Hacrobia;Cryptophyta (kingdom)	Cryptophyta (kingdom)	1	2	1	0	0	0	0	1	0	0	1	1	0	1	0	4	3	3	2	3	2	4	1	4	4	1	4	14	8	12	10	4	1	3	3	7	0	12	11	7	1	0	0	1	2	1	1	0	0	0	1	0	0	1	1	0	3	2	2	0	2	0	1	2	4	3	1	2	2	1	3	2	2	1	3	1	0	0	0	1	2	3	1	1	1	5	6	1	10	8
kingdom	Main genome;Eukaryota;Hacrobia;Centrohelida	Centrohelida	0	2	0	0	1	0	0	2	0	0	1	0	0	1	0	4	1	0	1	2	1	3	5	2	3	0	5	19	17	18	17	3	2	5	1	15	2	12	13	9	0	2	1	0	1	0	0	0	0	0	1	1	2	0	2	3	4	3	0	1	3	4	2	2	2	2	0	1	5	6	0	5	0	1	1	0	0	0	1	0	3	5	1	3	7	4	6	1	17	13
kingdom	Main genome;Eukaryota;Hacrobia;Telonemia (kingdom)	Telonemia (kingdom)	0	1	0	1	1	1	0	0	0	1	2	2	2	1	2	3	5	2	4	4	7	4	6	5	5	1	3	12	8	9	7	5	2	3	2	11	1	9	11	8	0	2	1	0	2	1	0	1	1	0	0	0	2	1	2	1	3	1	4	3	1	4	2	0	1	2	3	3	2	2	2	2	3	0	2	3	2	1	1	2	3	9	3	3	3	4	7	2	10	7
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Palpitomonas kingdom incertae sedis	Palpitomonas kingdom incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Eukaryota;Picozoa superkingdom incertae sedis;Picozoa kingdom incertae sedis	Picozoa kingdom incertae sedis	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0
kingdom	Main genome;Eukaryota;Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis	Apusozoa kingdom incertae sedis	17	21	28	22	23	21	25	25	17	21	39	23	39	15	13	40	39	30	31	27	39	40	32	35	57	13	55	84	64	70	58	42	26	40	26	74	10	73	75	53	11	15	15	12	13	11	12	17	11	10	14	19	15	12	24	27	24	28	28	29	25	26	24	22	31	25	29	26	26	30	25	25	29	26	27	42	25	32	17	22	36	33	28	33	38	90	63	29	102	93
kingdom	Main genome;Eukaryota;Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis	Breviatea kingdom incertae sedis	5	1	4	4	5	8	4	0	3	2	7	7	6	6	5	6	2	6	3	6	9	7	8	10	2	3	3	4	12	8	5	8	4	10	5	2	2	11	4	10	1	1	3	2	4	1	2	0	1	0	2	4	1	2	5	4	10	4	6	4	7	7	6	5	5	4	4	3	5	3	4	4	6	7	2	9	4	11	5	3	3	4	3	2	3	19	14	3	28	23
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Arthropoda	Arthropoda	4	2	3	2	7	4	4	3	10	6	14	13	13	6	2	13	11	13	13	10	26	33	17	7	10	3	16	54	36	34	31	15	13	13	8	57	3	37	40	50	5	3	4	3	2	6	2	7	4	9	5	9	6	11	3	3	2	3	2	6	1	3	9	5	5	4	3	4	3	5	4	5	2	5	11	9	7	7	8	6	11	21	10	15	11	26	21	17	17	10
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Nematoda	Nematoda	58	54	74	68	64	82	58	80	62	56	158	106	112	98	60	96	98	82	92	116	224	225	161	165	212	67	217	295	242	226	216	171	145	136	124	218	61	200	184	189	47	61	74	56	55	42	41	117	123	107	126	185	120	161	57	66	55	58	68	62	60	75	51	88	64	67	65	67	65	65	63	62	60	63	183	165	129	135	111	71	122	172	145	141	163	305	259	272	298	97
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Chordata	Chordata	1	1	1	2	2	2	1	0	0	0	1	1	1	0	1	0	1	2	0	0	1	3	0	1	2	0	2	1	0	0	1	0	0	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	3	1	1	0	0	0	1	1	1	0	8	1	1	2	3
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes	Platyhelminthes	3	2	7	4	7	10	5	1	5	7	11	6	11	7	6	12	11	10	13	11	12	8	13	4	9	2	7	22	19	18	20	3	2	7	3	13	7	11	13	16	8	7	8	5	3	5	6	5	3	4	6	10	7	6	4	4	5	4	4	4	2	6	3	3	6	2	3	4	3	3	5	3	4	4	7	5	3	4	5	1	7	9	8	8	5	17	17	11	6	8
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Mollusca	Mollusca	3	3	3	3	4	4	3	5	3	3	5	1	4	1	2	0	1	0	1	1	0	3	0	0	2	3	0	4	2	3	5	2	1	2	1	2	3	0	0	1	3	4	3	3	3	3	3	4	3	4	3	3	5	4	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	3	1	1	2	1	0	1	1	6	5	5	2	1
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Rotifera	Rotifera	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Annelida	Annelida	4	5	4	4	4	2	7	8	7	7	16	13	16	15	6	8	9	11	9	8	10	13	11	11	15	6	16	20	19	19	20	16	12	11	9	12	5	14	12	17	6	6	3	4	5	8	9	6	5	6	5	9	8	7	7	7	8	8	10	6	9	8	7	7	7	6	6	10	8	6	7	5	9	6	7	15	11	14	13	6	7	10	10	7	5	19	17	11	14	16
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Cnidaria	Cnidaria	1	5	6	3	2	2	4	4	3	2	9	4	6	5	2	2	3	4	5	4	4	7	6	10	8	2	10	10	14	16	12	7	7	7	7	7	3	8	8	5	2	4	3	2	2	1	1	2	3	3	3	3	3	3	5	5	4	3	5	6	5	4	6	3	4	6	3	4	4	6	3	2	3	4	6	6	5	7	4	3	7	10	8	12	8	7	8	7	16	12
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Echinodermata	Echinodermata	1	1	0	2	2	0	2	0	0	0	4	1	2	2	1	0	0	1	2	0	2	3	2	1	1	1	1	3	4	3	3	4	3	2	2	4	2	2	2	3	1	1	2	0	0	2	1	1	2	2	3	2	1	2	3	2	3	3	2	5	4	1	1	4	2	2	3	2	1	3	4	2	2	5	3	2	1	1	0	1	3	2	4	1	2	3	4	3	7	7
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Brachiopoda	Brachiopoda	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Tardigrada	Tardigrada	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Porifera	Porifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	2	2
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Hemichordata	Hemichordata	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	3	2	1	1	1	0	0	0	0	0	0	0	1	2	2	0	1	2	1	0	0	1	1	0	3	0	0	1	1	0	1	1	0	0	0	1	0	2	1	1	1	1	2	1	2	1	2	2	1	0	2	1	1	2	1	2	1	1	0	0	0	1	0	0	0	2	3	4	1	2	2
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Bryozoa	Bryozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0
