Rank	Taxonpath	Taxon	S675S.DA01r3	S07.18SX07	S45.18SX62	S20.18SX20	S676S.DA01r4	S10.18SX10	S23.18SX23	S677S.DA01r5	S770S.DA013III	S186SBLEX2	S44.18SX61	S39.18SX56	S771S.DA013IV	S192SBLPCR	S122S75.79	S688S.DA01	S22.18SX22	S15.18SX15	S126S60.64	S109S65.67	S42.18SX59	S113S27	S687S.DA01	S679S.DA01r7	S768S.DA013I	S115S29	S108S65.69	S38.18SX55	S27.18SX21.24	S02.18SX02	S812S.BLEX14	S686S.DA01	S674S.DA01r2	S680S.DA01r8	S03.18SX03	S112S26	S40.18SX57	S26.18SX11.20	S133S80.82	S46.18SX63	S120S45.49	S118S35.39	S683S.DA01	S13.18SX13	S110S65.67	S128S60.62	S43.18SX60	S678S.DA01r6	S111S25	S123S75.79	S09.18SX09	S18.18SX18	S19.18SX19	S12.18SX12	S119S40.44	S189SMOCK	S189SBLEX4	S06.18SX06	S125S75.77	S767S.DA012IV	S689S.DA01	S17.18SX17	S124S75.77	S129S60.62	S01.18SX01	S127S60.64	S47.18SX64	S121S50.54	S04.18SX04	S25.18SX1.10	S08.18SX08	S21.18SX21	S766S.DA011IV	S107S65.69	S41.18SX58	S11.18SX11	S114S28	S16.18SX16	S682S.DA01r10	S14.18SX14	S732S.BLANK	S813S.BLANK	S769S.DA013II	S681S.DA01r9	S811S.BLEX14	S132S80.82	S48.18SBlank	S116S25.29	S130S80.84	S05.18SX05	S117S30.34	S24.18SX24	S131S80.84	S673S.DA01r1
superkingdom	Main genome;Eukaryota;DH147-EKD10	DH147-EKD10	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	1	0	0	1	0	0	0	1	1	1	0	0	0	2	0	0	1	0	1	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	1	1	1	1	0	1	0	1	2	1	0	1	0	0	0	2	0	0	1	0	1	1	0	0	1	1	2	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0	1	1	2	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	3	0	0	3	0	0	0
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
superkingdom	Main genome;Eukaryota;D4P07G08	D4P07G08	1	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	1	2	1	0	0	2	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	2	1	0	1	0	1	1	0	0	2	1	0	1	0	1	0	0	0	0	0	1
superkingdom	Main genome;Eukaryota;Picozoa superkingdom incertae sedis	Picozoa superkingdom incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
superkingdom	Main genome;Eukaryota;Apusozoa superkingdom incertae sedis	Apusozoa superkingdom incertae sedis	29	25	26	12	26	21	10	26	33	0	25	27	38	0	84	32	11	15	42	39	28	30	25	25	33	27	23	24	12	21	0	42	25	25	28	39	24	15	53	24	57	32	27	10	15	40	29	30	40	64	17	13	11	13	35	0	0	21	58	36	17	12	70	26	17	26	22	55	22	19	25	17	22	39	28	13	31	15	26	11	0	0	28	29	0	75	1	39	74	23	40	14	73	31
superkingdom	Main genome;Eukaryota;Breviatea superkingdom incertae sedis	Breviatea superkingdom incertae sedis	4	4	7	2	3	2	0	5	2	0	7	4	3	0	4	11	1	1	8	6	6	6	4	4	4	6	7	5	2	1	0	9	4	4	4	2	10	1	10	6	2	8	2	2	6	10	4	3	6	12	3	4	1	3	10	0	0	8	5	3	5	2	8	5	5	4	5	3	4	4	0	0	3	7	4	5	3	3	7	1	0	0	3	6	0	4	0	9	2	5	7	2	11	5
kingdom	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia)	Metazoa (Animalia)	96	102	116	76	108	103	151	95	210	15	95	101	219	18	450	185	154	105	233	173	107	132	170	96	246	166	151	93	209	94	3	227	104	93	122	154	96	166	308	91	279	225	232	102	141	198	104	103	142	373	106	84	76	100	214	31	12	122	342	172	149	92	355	171	88	197	123	285	102	243	120	152	100	228	89	96	144	113	102	87	6	5	206	93	4	285	17	293	348	112	313	169	301	104
kingdom	Main genome;Eukaryota;Opisthokonta;Fungi	Fungi	50	42	51	22	44	39	20	49	70	2	47	42	54	3	133	67	17	21	97	66	49	60	52	40	74	55	48	43	19	40	0	78	58	48	45	71	42	21	87	42	91	74	65	25	50	92	51	49	61	95	42	27	16	23	84	4	4	41	88	75	45	19	111	58	38	56	46	90	39	45	40	23	56	79	51	20	58	31	61	26	0	0	58	48	2	102	3	71	109	37	75	22	93	51
kingdom	Main genome;Eukaryota;Opisthokonta;Choanomonada	Choanomonada	8	1	6	1	7	3	0	4	8	0	5	4	12	0	22	6	1	2	8	5	6	6	3	7	7	4	7	8	4	2	0	8	7	9	2	8	6	1	14	7	10	8	6	2	7	11	5	8	10	16	2	1	1	2	9	0	0	2	14	7	1	0	18	7	2	5	4	13	1	7	7	0	7	6	5	2	10	2	3	2	0	0	7	11	0	16	0	10	12	4	11	0	19	6
kingdom	Main genome;Eukaryota;Opisthokonta;Cryptomycota Holomycota kingdom incertae sedis	Cryptomycota Holomycota kingdom incertae sedis	4	6	5	4	3	6	1	4	5	0	4	2	3	0	5	6	3	1	3	5	2	9	7	5	7	6	7	4	2	3	0	8	3	2	3	6	2	3	2	4	5	5	6	1	3	4	3	3	5	9	3	2	2	2	5	0	0	3	7	6	3	2	4	7	3	4	1	6	6	3	6	4	6	7	2	1	7	3	2	4	0	0	5	4	0	7	0	9	8	5	7	2	5	2
kingdom	Main genome;Eukaryota;Opisthokonta;Mesomycetozoa	Mesomycetozoa	5	8	8	3	7	7	6	5	6	0	10	7	8	0	13	9	4	5	10	7	7	8	6	7	10	10	6	8	4	8	0	9	5	6	11	6	9	3	11	8	8	9	7	4	4	9	8	7	8	13	8	3	4	4	17	0	0	12	16	9	5	5	12	5	5	6	9	12	8	9	8	3	6	8	8	4	9	8	4	8	0	0	8	4	0	11	0	10	11	8	10	6	13	6
kingdom	Main genome;Eukaryota;Opisthokonta;Discicristoidea Holomycota kingdom incertae sedis	Discicristoidea Holomycota kingdom incertae sedis	2	2	4	1	1	0	1	1	4	0	3	1	3	0	4	3	1	0	6	1	1	2	0	2	3	3	1	1	2	0	0	3	3	1	1	3	1	2	3	3	3	5	2	0	1	4	1	3	0	7	1	0	0	0	4	0	0	1	4	4	2	0	4	2	0	2	1	2	1	1	0	1	1	2	3	2	2	0	3	0	0	0	3	2	0	4	0	3	6	1	4	0	8	2
kingdom	Main genome;Eukaryota;Opisthokonta;Mesomycetozoea	Mesomycetozoea	0	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1
kingdom	Main genome;Eukaryota;Opisthokonta;Filasterea	Filasterea	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0
kingdom	Main genome;Eukaryota;Opisthokonta;Freshwater Opisthokonta	Freshwater Opisthokonta	2	3	4	1	2	2	2	4	2	0	3	2	3	0	4	2	3	4	3	2	2	2	2	2	3	4	2	3	2	3	0	2	2	3	1	2	2	2	3	4	3	3	3	0	2	4	5	3	1	3	2	3	1	0	3	0	0	3	3	3	1	1	4	3	1	3	3	5	3	3	3	4	2	2	2	2	2	1	3	3	0	0	3	3	0	3	0	2	3	2	2	3	4	2
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0	0	1	1	0	0	0	1	0	0	0	0	2	0	4	0	1	1	5	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	2	1	0	2	5	0	0	0	0	0	0	0	0	3	0	0	0	7	0	1	4	4	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	4	0	1	3	0	0	1	3	0
kingdom	Main genome;Eukaryota;Excavata;Metamonada	Metamonada	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	2	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0
kingdom	Main genome;Eukaryota;Archaeplastida;Plantae	Plantae	42	63	43	23	37	58	23	47	63	0	45	40	54	2	67	65	23	26	67	72	36	67	61	44	74	65	52	45	22	60	0	74	45	49	65	65	40	33	63	40	88	73	61	30	62	61	44	39	69	60	55	29	24	28	82	1	0	65	60	68	59	29	69	49	52	49	43	101	71	67	66	21	66	84	41	35	70	31	42	30	0	0	73	40	0	66	1	80	65	66	80	22	66	43
kingdom	Main genome;Eukaryota;Archaeplastida;Rhodophyceae	Rhodophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
kingdom	Main genome;Eukaryota;Archaeplastida;Glaucophyta kingdom incertae sedis	Glaucophyta kingdom incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	226	195	228	119	210	174	145	236	289	7	231	206	321	11	517	283	148	133	404	281	212	269	240	227	350	275	239	218	149	199	1	332	234	226	224	265	244	155	398	212	365	313	280	127	226	372	255	229	281	481	210	114	126	121	368	24	7	192	446	333	231	144	476	279	175	282	225	414	185	257	221	150	238	308	226	121	290	128	208	131	0	0	307	248	0	388	11	361	409	218	358	154	428	225
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	351	290	330	179	334	271	216	360	411	10	343	332	401	21	784	397	220	181	603	414	325	394	363	341	480	402	328	294	208	262	4	468	341	330	310	393	328	219	559	329	560	503	425	189	325	538	357	337	390	657	300	164	161	193	540	25	12	327	619	441	306	180	715	380	257	410	345	604	286	333	297	191	323	474	328	192	414	197	359	193	0	2	421	347	1	629	24	537	700	306	510	220	695	354
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	233	189	241	117	249	185	112	232	278	6	217	232	253	11	503	262	125	123	376	262	220	274	244	236	299	268	209	220	115	209	0	292	250	243	214	274	224	134	428	224	376	313	273	128	201	356	244	234	278	449	200	119	111	127	322	13	8	197	409	302	208	130	469	264	155	280	251	398	193	201	190	117	220	312	225	142	287	130	241	141	3	1	283	244	0	454	12	336	460	198	352	124	466	245
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa (kingdom)	Amoebozoa (kingdom)	5	4	7	3	5	5	2	5	5	0	3	8	6	0	25	7	0	1	8	6	4	7	4	7	15	8	4	8	1	4	0	6	14	10	4	12	7	0	17	5	11	7	6	0	4	11	8	4	11	25	4	0	2	3	14	0	0	5	17	7	4	6	25	6	4	7	6	14	5	5	6	4	5	8	11	2	2	0	12	6	0	0	7	9	0	13	0	8	17	2	12	4	30	9
kingdom	Main genome;Eukaryota;Hacrobia;Haptophyta (kingdom)	Haptophyta (kingdom)	6	8	8	5	8	6	5	9	5	0	6	7	8	0	14	12	4	6	12	15	7	9	10	9	8	12	12	6	5	9	0	12	10	10	10	8	5	7	12	6	16	9	9	5	13	10	7	10	9	11	8	8	6	8	13	0	0	7	12	9	7	5	11	6	7	9	8	14	9	7	7	4	7	16	6	7	11	5	10	5	0	0	8	9	0	15	0	11	13	5	9	7	15	7
kingdom	Main genome;Eukaryota;Hacrobia;Cryptophyta (kingdom)	Cryptophyta (kingdom)	1	0	0	1	2	0	0	2	1	0	2	0	1	0	14	0	0	0	4	0	2	3	0	3	3	3	1	1	1	2	0	1	3	2	1	3	3	0	7	1	4	1	3	0	1	3	0	1	4	8	0	2	1	1	4	0	0	0	10	2	0	1	12	3	1	1	2	4	0	0	1	0	1	1	2	0	2	0	1	1	0	0	1	2	0	11	0	2	7	0	4	1	12	4
kingdom	Main genome;Eukaryota;Hacrobia;Centrohelida	Centrohelida	0	0	4	0	1	0	0	5	3	0	3	3	7	0	19	0	0	2	3	0	0	0	0	0	5	2	0	2	0	2	0	0	2	5	0	1	4	2	9	2	3	5	1	2	1	5	1	6	4	17	0	1	0	0	2	0	0	0	17	3	1	0	18	1	0	2	2	5	0	1	2	0	0	1	3	0	1	1	1	0	0	0	1	0	0	13	0	1	15	1	3	1	12	2
kingdom	Main genome;Eukaryota;Hacrobia;Telonemia (kingdom)	Telonemia (kingdom)	3	0	4	0	3	1	0	2	3	0	1	1	3	0	12	1	1	2	5	2	4	2	2	2	9	4	2	2	1	1	0	3	2	2	0	5	3	2	8	2	5	6	2	1	1	3	3	2	3	8	0	2	1	1	5	1	0	1	7	3	1	0	9	2	0	2	0	3	1	0	0	1	2	2	1	2	4	1	0	0	0	0	3	3	0	11	0	7	11	1	4	0	9	1
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Palpitomonas kingdom incertae sedis	Palpitomonas kingdom incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Eukaryota;Picozoa superkingdom incertae sedis;Picozoa kingdom incertae sedis	Picozoa kingdom incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
kingdom	Main genome;Eukaryota;Apusozoa superkingdom incertae sedis;Apusozoa kingdom incertae sedis	Apusozoa kingdom incertae sedis	29	25	26	12	26	21	10	26	33	0	25	27	38	0	84	32	11	15	42	39	28	30	25	25	33	27	23	24	12	21	0	42	25	25	28	39	24	15	53	24	57	32	27	10	15	40	29	30	40	64	17	13	11	13	35	0	0	21	58	36	17	12	70	26	17	26	22	55	22	19	25	17	22	39	28	13	31	15	26	11	0	0	28	29	0	75	1	39	74	23	40	14	73	31
kingdom	Main genome;Eukaryota;Breviatea superkingdom incertae sedis;Breviatea kingdom incertae sedis	Breviatea kingdom incertae sedis	4	4	7	2	3	2	0	5	2	0	7	4	3	0	4	11	1	1	8	6	6	6	4	4	4	6	7	5	2	1	0	9	4	4	4	2	10	1	10	6	2	8	2	2	6	10	4	3	6	12	3	4	1	3	10	0	0	8	5	3	5	2	8	5	5	4	5	3	4	4	0	0	3	7	4	5	3	3	7	1	0	0	3	6	0	4	0	9	2	5	7	2	11	5
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Arthropoda	Arthropoda	3	5	3	2	5	8	11	3	15	2	1	3	13	3	55	7	5	3	15	14	2	14	8	4	21	11	13	3	11	3	0	10	4	6	4	15	2	6	51	9	11	18	11	4	7	13	6	5	15	38	10	3	6	3	8	5	1	4	32	11	9	4	36	9	5	14	5	17	3	11	4	7	6	16	3	2	13	5	5	6	1	1	10	2	1	40	1	28	59	8	34	5	38	5
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Nematoda	Nematoda	65	60	76	41	68	57	108	66	144	7	60	68	166	10	295	139	123	62	173	113	70	83	132	63	173	118	106	59	161	58	0	169	68	62	75	101	59	121	193	52	213	161	183	63	99	137	63	66	97	243	63	55	42	67	165	14	5	82	218	123	112	57	228	128	59	146	89	217	68	185	80	117	72	159	58	61	93	75	63	47	4	1	145	61	1	188	12	224	223	65	226	126	203	65
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Chordata	Chordata	1	2	3	0	2	1	0	0	2	0	3	1	0	1	1	1	0	2	1	1	1	2	1	0	2	0	1	1	0	1	0	5	2	2	3	1	0	0	1	0	2	0	1	0	0	2	1	1	0	2	0	0	0	1	1	0	0	2	1	0	1	0	0	0	1	1	1	4	2	1	0	1	1	1	0	1	0	0	2	0	0	0	2	1	0	0	0	1	3	3	4	2	1	3
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Platyhelminthes	Platyhelminthes	3	5	6	6	4	7	4	3	9	0	2	4	5	0	22	4	3	7	3	11	4	10	3	5	9	11	6	4	6	2	0	5	2	3	7	11	5	7	16	3	10	13	7	7	7	7	4	3	12	19	5	3	5	2	4	2	2	10	20	7	5	5	18	3	3	2	3	7	4	10	1	5	1	11	4	6	13	8	4	8	0	0	8	4	0	13	0	12	13	7	8	6	11	6
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Mollusca	Mollusca	0	3	1	3	2	3	4	0	1	0	1	0	1	0	4	3	3	4	2	4	0	0	1	0	1	1	1	1	4	3	0	4	1	0	3	1	0	5	1	0	2	0	0	3	1	2	0	0	0	2	3	3	3	3	0	1	0	4	5	2	1	3	3	1	3	1	0	0	3	3	5	4	1	5	0	2	1	3	0	3	1	1	1	0	0	0	1	0	2	4	3	3	0	0
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Rotifera	Rotifera	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Annelida	Annelida	6	7	9	9	10	7	6	8	7	2	10	7	5	3	22	14	5	6	16	17	11	13	11	7	10	9	13	7	7	6	2	15	8	6	4	10	8	8	18	8	15	12	7	5	15	13	7	6	8	20	7	5	9	6	11	3	4	3	20	9	13	4	20	10	4	13	7	16	4	9	8	6	8	16	9	7	9	3	8	6	0	1	11	10	1	13	2	10	13	5	13	5	15	7
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Cnidaria	Cnidaria	3	4	4	1	4	2	3	4	12	0	5	5	8	0	10	7	3	4	7	6	5	4	5	3	10	4	4	5	3	5	0	6	6	2	6	3	4	3	5	6	8	6	6	3	5	7	6	6	2	14	3	2	1	2	10	1	0	2	12	7	4	2	16	7	1	7	3	10	3	3	4	2	3	9	3	2	5	3	4	2	0	0	8	3	1	8	0	4	7	2	7	3	8	4
phylum	Main genome;Eukaryota;Opisthokonta;Metazoa (Animalia);Echinodermata	Echinodermata	3	2	1	1	2	0	2	1	2	1	4	2	2	1	3	1	2	1	4	2	2	1	1	4	2	1	1	3	2	1	0	2	2	2	1	1	3	1	3	1	1	2	3	2	2	2	5	3	1	4	0	0	2	1	1	1	0	1	3	3	0	1	3	2	2	3	4	2	3	2	1	1	1	4	3	1	3	2	5	1	0	0	4	2	0	2	0	2	4	2	3	3	3	2
